alpha,objective,u_mae,strain_mae,pde_residual_rms,traction_error
0.65,0.0037754652569850487,0.05034224173145279,0.11873972319040604,0.009406050057685621,0.1590310900077579
0.685,0.0038539452780967254,0.050864407300675256,0.11999653087763086,0.009388423346395072,0.15906973183671408
0.72,0.00392528818051448,0.05133446789332557,0.12112800613915965,0.00937210782546763,0.1591055362338521
0.755,0.0039904082363335,0.0517597927877859,0.12215186776119542,0.009356975004900465,0.15913877676205923
0.79,0.0040500728411129215,0.05214643334421005,0.12308266639612833,0.009342909858247697,0.1591696989973728
0.8250000000000001,0.004104930265816727,0.052499403271205634,0.12393245825008828,0.00932980989153768,0.15919852228852732
0.8600000000000001,0.004155531492826966,0.052822890667359734,0.12471131476889653,0.009317583989392662,0.15922544205607664
0.895,0.004202347518125761,0.053120420382412575,0.12542771289899068,0.00930615120729807,0.1592506322520898
0.93,0.0042457831519725755,0.0533949796853018,0.12608883715445135,0.009295439615721865,0.15927424774287538
0.9650000000000001,0.00428618810225152,0.05364911652866647,0.12670081581711393,0.009285385232132688,0.15929642652561513
1.0,0.004323865934441382,0.053885017112526044,0.127268907381582,0.009275931055235638,0.15931729174471881
1.0350000000000001,0.004359081358011042,0.05410456762583104,0.1277976489713434,0.009267026221886314,0.15933695345110913
1.07,0.004392066191786425,0.054309403817739736,0.1282909755047199,0.009258625249224623,0.15935551020254402
1.105,0.004423024273913077,0.054500951086205444,0.12875231606520585,0.009250687381958186,0.15937305043695896
1.1400000000000001,0.004452135524498709,0.05468045712032252,0.1291846723785218,0.009243176023179388,0.15938965367068672
1.175,0.004479559327541972,0.05484901867281735,0.12959068317665656,0.009236058243658689,0.1594053915433039
1.21,0.004505437359083882,0.05500760364621891,0.12997267730030954,0.009229304343335716,0.15942032874277953
1.245,0.004529895964223564,0.055157069424016124,0.13033271777230102,0.0092228874786374,0.1594345238006763
1.2800000000000002,0.004553048163076029,0.05529817816187007,0.13067263856660502,0.009216783337580166,0.15944802978503814
1.315,0.0045749953525572136,0.055431609619950535,0.13099407546268127,0.009210969853871395,0.159460894912611
1.35,0.004595828754407812,0.055557971973122955,0.1312984920417584,0.009205426962044974,0.15947316306193912
